date,pic_corr,roll_corr,gap,pic_cov,roll_cov,gap_cov,cos,real_corr,err,err_cov,pair21,pv63,jm21,crowded,q
1992-11-17,0.469838,0.489798,-0.0199601,5.57493e-06,5.4164e-06,1.58522e-07,0.57582,0.0246626,-0.465136,-5.27344e-06,0.00515067,0.0343821,0,0,2
1992-11-18,0.464601,0.493878,-0.0292773,5.45973e-06,5.44612e-06,1.36118e-08,0.57582,0.13362,-0.360259,-4.57271e-06,0.00402913,0.0361493,0,0,2
1992-11-19,0.466366,0.492619,-0.0262535,5.47125e-06,5.4082e-06,6.30535e-08,0.57582,0.132709,-0.35991,-4.54555e-06,0.00931819,0.0361818,0,0,2
1992-11-20,0.463514,0.491191,-0.0276773,5.41972e-06,5.3917e-06,2.80137e-08,0.57582,0.149469,-0.341722,-4.40093e-06,0.00275962,0.0361352,0,0,2
1992-11-24,0.467258,0.493363,-0.0261048,5.45741e-06,5.41782e-06,3.95893e-08,0.57582,0.13464,-0.358723,-4.4608e-06,0.00293136,0.037464,0,0,2
1992-11-25,0.528603,0.49321,0.0353929,6.87938e-06,5.41764e-06,1.46174e-06,0.548993,0.377746,-0.115465,-2.16309e-06,0.000617181,0.0372849,0,0,2
1992-12-01,0.523642,0.49429,0.0293524,6.73593e-06,5.3787e-06,1.35723e-06,0.548993,0.369598,-0.124692,-2.25483e-06,0.00340437,0.03698,0,0,2
1992-12-02,0.523115,0.493552,0.0295632,6.71639e-06,5.31951e-06,1.39688e-06,0.548993,0.361711,-0.131841,-2.31038e-06,0.00328025,0.0366557,0,0,2
1992-12-03,0.525378,0.495311,0.0300674,6.73944e-06,5.33707e-06,1.40237e-06,0.548993,0.342662,-0.152649,-2.32716e-06,-0.000427506,0.0367289,0,0,2
1992-12-04,0.522053,0.493906,0.0281469,6.66866e-06,5.32033e-06,1.34833e-06,0.548993,0.342982,-0.150924,-2.30767e-06,-0.00105924,0.0374875,0,0,2
1992-12-08,0.526813,0.493777,0.0330361,6.6682e-06,5.31076e-06,1.35744e-06,0.548993,0.351205,-0.142572,-2.17616e-06,-0.00587573,0.0383381,0,0,2
1992-12-09,0.52706,0.492544,0.0345162,6.66309e-06,5.28451e-06,1.37858e-06,0.548993,0.347963,-0.144581,-2.19352e-06,-0.00191174,0.0381281,0,0,2
1992-12-10,0.517198,0.49837,0.018828,6.33805e-06,5.32304e-06,1.01501e-06,0.548993,0.355028,-0.143342,-2.1327e-06,-0.00143692,0.0386239,0,0,2
1992-12-11,0.522323,0.477868,0.0444549,6.30646e-06,4.9032e-06,1.40326e-06,0.548993,0.33982,-0.138049,-1.77059e-06,0.00132467,0.0385844,0,0,2
1992-12-15,0.52096,0.476735,0.0442246,6.27818e-06,4.88776e-06,1.39043e-06,0.548993,0.378141,-0.0985946,-1.11002e-06,0.00143024,0.0419199,0,0,2
1992-12-16,0.519224,0.482363,0.036861,6.20389e-06,4.89726e-06,1.30663e-06,0.548993,0.36688,-0.115483,-1.20793e-06,0.00505259,0.0419415,0,0,2
1992-12-22,0.508707,0.480352,0.0283551,5.94398e-06,4.83926e-06,1.10472e-06,0.548993,0.351802,-0.12855,-1.27017e-06,0.00311597,0.0419,0,0,2
1992-12-23,0.506502,0.476021,0.0304817,5.9138e-06,4.80542e-06,1.10837e-06,0.548993,0.349599,-0.126422,-1.29309e-06,-0.00309421,0.0426915,0,0,2
1992-12-29,0.50831,0.477087,0.0312236,5.94031e-06,4.83134e-06,1.10897e-06,0.548993,0.370405,-0.106682,-1.01407e-06,-0.000469962,0.0436671,0,0,2
1992-12-30,0.505249,0.479746,0.0255031,5.90598e-06,4.84992e-06,1.05606e-06,0.548993,0.370007,-0.109739,-1.03624e-06,0.000557593,0.0436967,0,0,2
1992-12-31,0.607711,0.49022,0.117491,5.51307e-06,4.93036e-06,5.82711e-07,0.754056,0.7466,0.256381,3.18953e-06,0.00333609,0.043676,0,0,3
1993-01-05,0.606875,0.484693,0.122183,5.49925e-06,4.81285e-06,6.86394e-07,0.754056,0.746766,0.262073,3.33797e-06,0.00762178,0.0436539,0,0,3
1993-01-06,0.614071,0.483866,0.130205,5.53474e-06,4.79865e-06,7.36091e-07,0.754056,0.749243,0.265377,3.37926e-06,0.00992752,0.0437266,0,0,3
1993-01-07,0.614631,0.486983,0.127648,5.53767e-06,4.81045e-06,7.27221e-07,0.754056,0.778963,0.29198,3.68963e-06,0.00244739,0.0432241,0,0,3
1993-01-08,0.610533,0.479872,0.130661,5.54469e-06,4.75707e-06,7.87622e-07,0.754056,0.790569,0.310697,4.11431e-06,0.00822592,0.042792,0,0,3
1993-01-13,0.609385,0.478658,0.130727,5.5463e-06,4.71778e-06,8.28521e-07,0.754056,0.794407,0.315749,4.40279e-06,0.00891997,0.0431247,0,0,3
1993-01-19,0.606462,0.476933,0.129529,5.48376e-06,4.671e-06,8.12766e-07,0.754056,0.782469,0.305536,4.64957e-06,0.00933631,0.0458608,0,0,3
