geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,correlation,holdings corr,63,0.85-0.95,379,8493,1.119861,1.043928,1.191221,0.213720
neutral,correlation,blend corr,63,0.85-0.95,379,8493,1.068129,1.005436,1.125619,0.245383
neutral,correlation,factor corr K5,63,0.85-0.95,379,8493,1.054142,1.014904,1.106671,0.390501
neutral,correlation,factor corr K10,63,0.85-0.95,379,8491,1.025804,0.997273,1.057717,0.467018
neutral,correlation,"proxy factor corr, core 13",63,0.85-0.95,378,8460,1.000350,0.982476,1.019661,0.566138
neutral,correlation,"proxy factor corr, extended 22",63,0.85-0.95,378,8395,0.998143,0.981058,1.014942,0.595238
neutral,covariance,holdings cov,63,<0.75,130,3090,1.357290,1.109755,1.966265,0.038462
neutral,covariance,"holdings corr, stream vol",63,<0.75,130,3090,1.116679,1.009937,1.415376,0.053846
neutral,covariance,"blend, pair weight",63,<0.75,130,3090,1.016644,1.004971,1.067472,0.146154
neutral,correlation,holdings corr,63,<0.75,130,3090,1.416030,1.163579,1.494662,0.030769
neutral,correlation,blend corr,63,<0.75,130,3090,1.061967,0.986429,1.103168,0.153846
neutral,correlation,factor corr K5,63,<0.75,130,3090,1.062555,0.993342,1.277243,0.384615
neutral,correlation,factor corr K10,63,<0.75,130,3090,1.031956,0.977828,1.228339,0.523077
neutral,correlation,"proxy factor corr, core 13",63,<0.75,130,3090,1.018612,0.978045,1.157362,0.607692
neutral,correlation,"proxy factor corr, extended 22",63,<0.75,130,3089,1.016521,0.977513,1.150049,0.615385
neutral,covariance,holdings cov,63,>0.95,957,22710,1.022212,1.009130,1.039451,0.330199
neutral,covariance,"holdings corr, stream vol",63,>0.95,957,22710,1.000356,0.997604,1.003757,0.509927
neutral,covariance,"blend, pair weight",63,>0.95,957,22710,1.000166,0.997529,1.003275,0.513062
neutral,correlation,holdings corr,63,>0.95,957,22710,1.026479,0.994231,1.063492,0.492163
neutral,correlation,blend corr,63,>0.95,957,22710,1.020929,0.992069,1.054004,0.497388
neutral,correlation,factor corr K5,63,>0.95,957,22710,1.026602,0.988029,1.074613,0.518286
neutral,correlation,factor corr K10,63,>0.95,957,22710,0.990026,0.966701,1.018806,0.614420
neutral,correlation,"proxy factor corr, core 13",63,>0.95,957,22650,0.975790,0.964478,0.985172,0.810867
neutral,correlation,"proxy factor corr, extended 22",63,>0.95,957,22447,0.974686,0.963008,0.983704,0.831766
neutral,covariance,holdings cov,108,0.75-0.85,262,5528,1.151222,1.075296,1.284506,0.041985
neutral,covariance,"holdings corr, stream vol",108,0.75-0.85,262,5528,1.031557,1.017425,1.061525,0.091603
neutral,covariance,"blend, pair weight",108,0.75-0.85,262,5528,1.004363,0.981778,1.021476,0.198473
neutral,correlation,holdings corr,108,0.75-0.85,262,5528,1.204582,1.030201,1.302857,0.129771
neutral,correlation,blend corr,108,0.75-0.85,262,5528,1.010854,0.901440,1.069087,0.278626
neutral,correlation,factor corr K5,108,0.75-0.85,262,5528,1.042454,1.003507,1.080361,0.377863
neutral,correlation,factor corr K10,108,0.75-0.85,262,5528,1.013550,0.988252,1.039903,0.549618
neutral,correlation,"proxy factor corr, core 13",108,0.75-0.85,262,5528,1.000744,0.983621,1.014793,0.637405
neutral,correlation,"proxy factor corr, extended 22",108,0.75-0.85,262,5509,0.999998,0.982877,1.012667,0.652672
neutral,covariance,holdings cov,108,0.85-0.95,379,8481,1.108764,1.037209,1.399311,0.055409
neutral,covariance,"holdings corr, stream vol",108,0.85-0.95,379,8481,1.015884,1.001550,1.042385,0.200528
neutral,covariance,"blend, pair weight",108,0.85-0.95,379,8481,1.010159,0.999209,1.026972,0.232190
neutral,correlation,holdings corr,108,0.85-0.95,379,8481,1.167605,1.077819,1.237505,0.147757
neutral,correlation,blend corr,108,0.85-0.95,379,8481,1.084480,1.016405,1.134706,0.205805
neutral,correlation,factor corr K5,108,0.85-0.95,379,8481,1.053985,1.013716,1.107911,0.390501
neutral,correlation,factor corr K10,108,0.85-0.95,379,8481,1.025610,0.997899,1.057373,0.467018
neutral,correlation,"proxy factor corr, core 13",108,0.85-0.95,378,8460,1.000350,0.982981,1.020174,0.566138
neutral,correlation,"proxy factor corr, extended 22",108,0.85-0.95,378,8395,0.998143,0.981907,1.015572,0.595238
neutral,covariance,holdings cov,108,<0.75,130,3089,1.406383,1.139799,2.064626,0.046154
neutral,covariance,"holdings corr, stream vol",108,<0.75,130,3089,1.145945,1.013470,1.506594,0.084615
neutral,covariance,"blend, pair weight",108,<0.75,130,3089,1.009980,1.002679,1.034206,0.207692
neutral,correlation,holdings corr,108,<0.75,130,3089,1.453928,1.292526,1.553846,0.053846
neutral,correlation,blend corr,108,<0.75,130,3089,1.019036,0.967405,1.041834,0.315385
neutral,correlation,factor corr K5,108,<0.75,130,3089,1.062524,0.995706,1.261446,0.384615
neutral,correlation,factor corr K10,108,<0.75,130,3089,1.031959,0.980292,1.214484,0.523077
neutral,correlation,"proxy factor corr, core 13",108,<0.75,130,3089,1.018625,0.978480,1.149719,0.607692
neutral,correlation,"proxy factor corr, extended 22",108,<0.75,130,3089,1.016521,0.978366,1.139400,0.615385
neutral,covariance,holdings cov,108,>0.95,957,22680,1.041909,1.021703,1.068378,0.180773
neutral,covariance,"holdings corr, stream vol",108,>0.95,957,22680,1.004615,1.000817,1.009482,0.423197
neutral,covariance,"blend, pair weight",108,>0.95,957,22680,1.003878,1.000489,1.008286,0.427377
neutral,correlation,holdings corr,108,>0.95,957,22680,1.065204,1.023167,1.119932,0.384535
neutral,correlation,blend corr,108,>0.95,957,22680,1.051306,1.015667,1.096436,0.406479
neutral,correlation,factor corr K5,108,>0.95,957,22680,1.026320,0.992405,1.077813,0.520376
neutral,correlation,factor corr K10,108,>0.95,957,22680,0.989709,0.967631,1.020635,0.615465
neutral,correlation,"proxy factor corr, core 13",108,>0.95,957,22650,0.975790,0.964450,0.986749,0.810867
neutral,correlation,"proxy factor corr, extended 22",108,>0.95,957,22447,0.974686,0.963450,0.985274,0.831766
neutral,covariance,holdings cov,future,all,1981,47025,1.021507,0.996391,1.056709,0.423523
neutral,covariance,"holdings corr, stream vol",future,all,1981,47025,1.002973,0.996046,1.012421,0.466936
neutral,covariance,"blend, pair weight",future,all,1981,47025,1.001422,0.995310,1.008854,0.477032
neutral,correlation,holdings corr,future,all,1981,47025,0.918306,0.868943,0.962960,0.700656
neutral,correlation,blend corr,future,all,1981,47025,0.905081,0.859600,0.946148,0.718829
neutral,correlation,factor corr K5,future,all,1981,47025,1.037017,1.003972,1.077356,0.517415
neutral,correlation,factor corr K10,future,all,1981,47019,1.009163,0.983714,1.044075,0.616355
neutral,correlation,"proxy factor corr, core 13",future,all,1981,46909,0.994363,0.977226,1.021029,0.735992
neutral,correlation,"proxy factor corr, extended 22",future,all,1976,46347,0.995753,0.981208,1.020561,0.745445
neutral,covariance,holdings cov,0,all,1982,47154,1.011671,0.992451,1.038592,0.434410
neutral,covariance,"holdings corr, stream vol",0,all,1982,47154,1.000833,0.995084,1.007693,0.473764
neutral,covariance,"blend, pair weight",0,all,1982,47154,0.999691,0.994381,1.005800,0.487386
neutral,correlation,holdings corr,0,all,1982,47154,0.947085,0.902543,0.994439,0.677094
neutral,correlation,blend corr,0,all,1982,47154,0.933915,0.892615,0.976091,0.698285
neutral,correlation,factor corr K5,0,all,1982,47154,1.037266,1.003966,1.080087,0.518163
neutral,correlation,factor corr K10,0,all,1982,47148,1.009312,0.984182,1.044338,0.616044
neutral,correlation,"proxy factor corr, core 13",0,all,1982,47038,0.994534,0.976826,1.020472,0.735116
neutral,correlation,"proxy factor corr, extended 22",0,all,1977,46476,0.995913,0.980649,1.019875,0.745068
neutral,covariance,holdings cov,21,all,1975,47205,1.017923,0.999302,1.054503,0.409620
neutral,covariance,"holdings corr, stream vol",21,all,1975,47205,1.005658,0.997201,1.021470,0.430380
neutral,covariance,"blend, pair weight",21,all,1975,47205,1.001769,0.996545,1.010139,0.437975
neutral,correlation,holdings corr,21,all,1975,47205,1.103382,1.044623,1.165332,0.426835
neutral,correlation,blend corr,21,all,1975,47205,1.056057,1.016350,1.101286,0.448101
neutral,correlation,factor corr K5,21,all,1975,47205,1.039807,1.007640,1.080130,0.509367
neutral,correlation,factor corr K10,21,all,1975,47199,1.011988,0.987305,1.044334,0.609620
neutral,correlation,"proxy factor corr, core 13",21,all,1975,47089,0.997078,0.981352,1.022135,0.735696
neutral,correlation,"proxy factor corr, extended 22",21,all,1970,46586,0.996172,0.981677,1.020451,0.742640
neutral,covariance,holdings cov,63,all,1981,47595,1.067690,1.037724,1.118046,0.197375
neutral,covariance,"holdings corr, stream vol",63,all,1981,47595,1.010830,1.003238,1.023808,0.329631
neutral,covariance,"blend, pair weight",63,all,1981,47595,1.003652,1.000275,1.008108,0.354366
neutral,correlation,holdings corr,63,all,1981,47595,1.165560,1.106089,1.224765,0.294296
neutral,correlation,blend corr,63,all,1981,47595,1.063916,1.030472,1.093808,0.324584
neutral,correlation,factor corr K5,63,all,1981,47595,1.042218,1.012918,1.080640,0.501767
neutral,correlation,factor corr K10,63,all,1981,47589,1.013817,0.991060,1.046511,0.601212
