ticker,series_id,fund_name,type,first_year,last_year
EFFE,S000088918,Harbor Osmosis Emerging Markets Resource Efficient ETF,equity_longonly,2025,2025
EFFI,S000088919,Harbor Osmosis International Resource Efficient ETF,equity_longonly,2025,2025
VOLT,S000088946,Tema Electrification ETF,equity_longonly,2026,2026
CBLS,S000089015,Clough Hedged Equity ETF,equity_longshort,2025,2025
CBSE,S000089016,Clough Select Equity ETF,equity_longonly,2025,2025
GIND,S000089154,Goldman Sachs India Equity ETF,equity_longonly,2025,2025
NBGX,S000089172,Neuberger Berman Growth ETF,equity_longonly,2025,2025
SCDV,S000089193,Bahl & Gaynor Small Cap Dividend ETF,equity_longonly,2024,2025
BGDV,S000089194,Bahl & Gaynor Dividend ETF,equity_longonly,2024,2025
PRCS,S000089216,Parnassus Core Select ETF,equity_longonly,2024,2025
PRVS,S000089217,Parnassus Value Select ETF,equity_longonly,2024,2025
LSVD,S000089218,LSV Disciplined Value ETF,equity_longonly,2025,2025
TXUE,S000089221,Thornburg International Equity ETF,equity_longonly,2025,2025
TXUG,S000089222,Thornburg International Growth ETF,equity_longonly,2025,2025
IDVZ,S000089318,The Opal International Dividend Income ETF,equity_longonly,2025,2025
TLCI,S000089352,Touchstone International Equity ETF,equity_longonly,2025,2025
TEMX,S000089353,Touchstone Sands Capital Emerging Markets ex-China Growth ETF,equity_longonly,2025,2025
TSEL,S000089354,Touchstone Sands Capital US Select Growth ETF,equity_longonly,2025,2025
EUSM,S000089355,Eventide US Market ETF,equity_longonly,2025,2025
WAR,S000089411,U.S. Global Technology and Aerospace & Defense ETF,equity_longonly,2024,2025
BRIF,S000089423,FIS Bright Portfolios Focused Equity ETF ,equity_longonly,2025,2025
FGSM,S000089435,Frontier Asset Global Small Cap Equity ETF,equity_longonly,2025,2025
FINT,S000089437,Frontier Asset Total International Equity ETF,equity_longonly,2025,2025
FLCE,S000089438,Frontier Asset U.S. Large Cap Equity ETF,equity_longonly,2025,2025
MAVF,S000089477,Matrix Advisors Value ETF,equity_longonly,2025,2025
MEME,S000089480,Roundhill MEME Stock ETF,equity_longonly,2025,2025
GEND,S000089486,Genter Capital Dividend Income ETF,equity_longonly,2025,2025
GENW,S000089487,Genter Capital International Dividend ETF,equity_longonly,2025,2025
ORR,S000089579,Militia Long/Short Equity ETF,equity_longshort,2025,2025
THEQ,S000089786,T. Rowe Price Hedged Equity ETF,equity_longshort,2025,2025
LQPE,S000089834,PEO AlphaQuest Thematic PE ETF,equity_longonly,2025,2025
MNRS,S000089870,Grayscale Bitcoin Miners ETF,equity_longonly,2025,2025
HVAC,S000089876,AdvisorShares HVAC and Industrials ETF,equity_longonly,2025,2025
JXX,S000089963,Janus Henderson Transformational Growth ETF,equity_longonly,2025,2025
RUSC,S000089990,U.S. Small Cap Equity Active ETF,equity_longonly,2025,2025
RINT,S000089991,International Developed Equity Active ETF,equity_longonly,2025,2025
RGLO,S000089992,Global Equity Active ETF,equity_longonly,2025,2025
REMG,S000089993,Emerging Markets Equity Active ETF,equity_longonly,2025,2025
RIFR,S000089994,Global Infrastructure Active ETF,equity_longonly,2025,2025
EXUS,S000090013,Nomura Focused International Core ETF,equity_longonly,2026,2026
PIPE,S000090149,Invesco SteelPath MLP & Energy Infrastructure ETF,equity_longonly,2025,2025
YOKE,S000090290,Yoke Core ETF,equity_longonly,2026,2026
FBDC,S000090298,FT Confluence BDC & Specialty Finance Income ETF,equity_longonly,2025,2025
JUSA,S000090403,JPMorgan U.S. Research Enhanced Large Cap ETF,equity_longonly,2025,2025
RCGE,S000090524,RockCreek Global Equality ETF,equity_longonly,2026,2026
LGDX,S000090660,Intech S&P Large Cap Diversified Alpha ETF,equity_longonly,2026,2026
SMDX,S000090661,Intech S&P Small-Mid Cap Diversified Alpha ETF,equity_longonly,2026,2026
DSPY,S000090856,Tema S&P 500 Historical Weight ETF Strategy,equity_longonly,2026,2026
ALIL,S000091242,Argent Focused Small Cap ETF,equity_longonly,2025,2025
ABIG,S000091243,Argent Large Cap ETF,equity_longonly,2025,2025
LCAP,S000091386,Principal Capital Appreciation Select ETF,equity_longonly,2025,2025
RJDI,S000091480,RJ Eagle GCM Dividend Select Income ETF,equity_longonly,2025,2025
NODE,S000091510,Onchain Economy ETF,equity_longonly,2025,2025
EMKT,S000091512,Lazard Emerging Markets Opportunities ETF,equity_longonly,2025,2025
THMZ,S000091513,Lazard Equity Megatrends ETF,equity_longonly,2025,2025
IEQ,S000091514,Lazard International Dynamic Equity ETF,equity_longonly,2025,2025
JPY,S000091515,Lazard Japanese Equity ETF,equity_longonly,2025,2025
TEKY,S000091516,Lazard Next Gen Technologies ETF,equity_longonly,2025,2025
EMES,S000091658,Harbor Emerging Markets Select ETF,equity_longonly,2025,2025
EPEM,S000091659,Harbor Emerging Markets Equity ETF,equity_longonly,2025,2025
EPIN,S000091660,Harbor International Equity ETF,equity_longonly,2025,2025
EPMB,S000091661,Harbor Mid Cap Core ETF,equity_longonly,2025,2025
EPMV,S000091662,Harbor Mid Cap Value ETF,equity_longonly,2025,2025
EPSB,S000091663,Harbor SMID Cap Core ETF,equity_longonly,2025,2025
EPSV,S000091664,Harbor SMID Cap Value ETF,equity_longonly,2025,2025
TEC,S000091665,Harbor Transformative Technologies ETF,equity_longonly,2025,2025
BCOR,S000091689,Grayscale Bitcoin Adopters ETF,equity_longonly,2025,2025
CSTK,S000091769,Invesco Comstock Contrarian Equity ETF,equity_longonly,2025,2025
MTRA,S000091770,Invesco International Growth Focus ETF,equity_longonly,2025,2025
TRUT,S000091806,VanEck Technology TruSector ETF,equity_longonly,2025,2025
TRUD,S000091808,VanEck Consumer Discretionary TruSector ETF,equity_longonly,2025,2025
TFNS,S000092021,T. Rowe Price Financials ETF,equity_longonly,2025,2025
TGLB,S000092022,T. Rowe Price Global Equity ETF,equity_longonly,2025,2025
