ticker,series_id,fund_name,first_year,last_year,net_assets_last
DYNI,S000082865,IDX Dynamic Innovation ETF,2024,2024,29891598.15
CCEF,S000083148,Calamos CEF Income & Arbitrage ETF,2024,2025,16509760.52
PRAE,S000083335,PlanRock Alternative Growth Fund,2024,2025,8776419.49
YMAG,S000083695,YieldMax Magnificent 7 Fund of Option Income ETFs,2024,2025,336928653.058
YMAX,S000083696,YieldMax Universe Fund of Option Income ETFs,2024,2025,805393713.943
KEAT,S000084024,Keating Active ETF,2025,2026,92708371.49
DRAI,S000084615,Draco Evolution AI ETF,2025,2025,10638068.14
PSTR,S000084644,PeakShares Sector Rotation ETF,2025,2026,37046008.75013696
FCTE,S000085612,SMI 3Fourteen Full-Cycle Trend ETF,2024,2025,419813149.38
DUKZ,S000085656,Ocean Park Diversified Income ETF,2025,2025,6407214.48873239
DUKQ,S000085657,Ocean Park Domestic ETF,2025,2025,7498442.49374647
DUKH,S000085658,Ocean Park High Income ETF,2025,2025,5053643.10312676
DUKX,S000085659,Ocean Park International ETF,2025,2025,1445562.40011267
HFSP,S000086352,TradersAI Large Cap Equity & Cash ETF,2025,2025,1001785
TSPX,S000086570,Twin Oak Active Opportunities ETF,2025,2025,335542515.813
XDIV,S000086582,Roundhill S&P 500 No Dividend Target ETF,2025,2025,12722034.662
GMMA,S000086669,GammaRoad Market Navigation ETF,2025,2025,4350143
SPBX,S000087697,AllianzIM 6 Month Buffer10 Allocation ETF,2025,2025,27236734.03
SPBW,S000087698,AllianzIM Buffer20 Allocation ETF,2025,2025,30830525.75
TAX,S000088134,Cambria Tax Aware ETF,2025,2025,28917169.451
ENDW,S000088135,Cambria Endowment Style ETF,2025,2025,113876610.01
USAF,S000088240,Atlas America Fund,2025,2025,11810643
NDAA,S000088329,Ned Davis Research 360 Dynamic Allocation ETF,2025,2025,2033994
ITDJ,S000088407,iShares LifePath Target Date 2070 ETF,2025,2025,1903931.59
CORO,S000088408,iShares International Country Rotation Active ETF,2025,2025,6962791.75625
EMPB,S000089095,Efficient Market Portfolio Plus ETF,2025,2025,10601674.047
RSBA,S000089361,Return Stacked Bonds & Merger Arbitrage ETF,2025,2026,21460022.78
YFYA,S000089419,Yields for You Income Strategy A ETF,2025,2025,25803349
RSMV,S000089421,Relative Strength Managed Volatility Strategy ETF,2025,2025,58786766
FARX,S000089433,Frontier Asset Absolute Return ETF,2025,2025,10911372
ONEZ,S000089479,TrueShares Seasonality Laddered Buffered ETF ,2025,2025,69549275
HBTA,S000089818,Horizon Expedition Plus ETF,2025,2025,54751488.414
LENS,S000089845,Sarmaya Thematic ETF,2025,2025,6357633.388
ALLW,S000089966,SPDR Bridgewater All Weather ETF,2025,2025,301950141.0175
SPBU,S000090423,AllianzIM Buffer15 Uncapped Allocation ETF,2025,2025,41086039.60999999
RAA,S000090496,SMI 3Fourteen REAL Asset Allocation ETF,2025,2025,439625672
AAAA,S000090747,Amplius Aggressive Asset Allocation ETF,2026,2026,230264586.311
GEW,S000090982,Cambria Global EW ETF,2025,2025,153081265.017
RSSX,S000091930,Return Stacked U.S. Stocks & Gold/Bitcoin ETF,2026,2026,25240056.8931837
HECA,S000092394,Hedgeye Capital Allocation ETF,2025,2025,29563347
HOLD,S000093653,Harbor Alpha Layering ETF,2025,2025,3956335.79333333
THRV,S000094663,Prospera Income ETF,2025,2025,1808607
GMOD,S000094781,GMO Dynamic Allocation ETF,2026,2026,19928325.292
GLDB,S000095158,IDX Alternative FIAT ETF,2025,2025,6623371
FFF,S000095795,Founders 100 ETF,2025,2025,857176.2
