ticker,name_type,phi_63,phibar_63,status_book,n_advisers,crds,adviser_names,text_paths,coverage
GAL,allocation_fof,0.924,0.9597,active,2,;111242,"SSgA Funds Management, Inc. | SSGA Funds Management, Inc.",adv_data/brochures/111242/text.txt,on_disk
GDMA,allocation_fof,0.451,0.6449,active,2,171412;291195,"Empowered Funds, LLC d/b/a EA Advisers | Gadsden, LLC",adv_data/brochures/171412/text.txt,on_disk
GK,equity_longonly,0.9421,0.9728,active,2,153649;149782,"Gerber Kawasaki, Inc. | AdvisorShares Investments, LLC",adv_data/brochures/153649/text.txt,on_disk
GMOM,allocation_fof,0.7083,0.843,active,3,N/A;141600;164201,"Cambria Investment Management, L.P. | Cambria Investment Management, L.P. | Tidal Investments LLC",adv_data/brochures/141600/text.txt;adv_data/brochures/164201/text.txt,on_disk
GSPY,equity_longonly,0.9801,0.9893,active,2,149335;164201,"Gotham Asset Management, LLC | Tidal Investments LLC",adv_data/brochures/149335/text.txt;adv_data/brochures/164201/text.txt,on_disk
INKM,allocation_fof,0.9248,0.9602,active,2,;111242,"SSgA Funds Management, Inc. | SSGA Funds Management, Inc.",adv_data/brochures/111242/text.txt,on_disk
ITAN,equity_longonly,0.9571,0.9772,active,2,171412;314364,"Empowered Funds, LLC d/b/a EA Advisers | Sparkline Capital LP",adv_data/brochures/171412/text.txt;adv_data/brochures/314364/text.txt,on_disk
KOCG,equity_longonly,0.9344,0.9642,active,2,174129;313337,"Knights of Columbus Asset Advisors LLC | Faith Investor Services, LLC",adv_data/brochures/174129/text.txt,on_disk
LCTU,equity_longonly,0.9816,0.9907,active,2,105247;106843,BlackRock Fund Advisors | BlackRock International Limited,adv_data/brochures/105247/text.txt;adv_data/brochures/106843/text.txt,on_disk
LDSF,fixed_income,0.9388,0.9668,active,1,107027,First Trust Advisors L.P.,adv_data/brochures/107027/text.txt,on_disk
LRGE,equity_longonly,0.9722,0.9854,active,3,137028;110441;140432,"ClearBridge Investments, LLC | Western Asset Management Company, LLC | FRANKLIN TEMPLETON FUND ADVISER, LLC",adv_data/brochures/137028/text.txt;adv_data/brochures/110441/text.txt,on_disk
MBOX,equity_longonly,0.8878,0.9415,active,2,171412;138962,"Empowered Funds, LLC d/b/a EA Advisers | Freedom Day Solutions, LLC ",adv_data/brochures/171412/text.txt;adv_data/brochures/138962/text.txt,on_disk
OCIO,allocation_fof,0.9187,0.9583,active,2,157531;170196,ClearShares LLC | Blueprint Investment Partners LLC,adv_data/brochures/157531/text.txt;adv_data/brochures/170196/text.txt,on_disk
PDBC,commodity_futures,0.8957,0.9466,active,1,125601,Invesco Capital Management LLC,adv_data/brochures/125601/text.txt,on_disk
PPI,other,0.7985,0.891,active,2,305714;288271,AXS Investments LLC | Astoria Portfolio Advisors LLC,adv_data/brochures/288271/text.txt,on_disk
PSFF,allocation_fof,0.9256,0.9646,active,3,137396;114669;137381,"Pacer Advisors, Inc. | Swan Global Management, LLC | Pacer Advisors, Inc.",adv_data/brochures/114669/text.txt;adv_data/brochures/137381/text.txt,on_disk
QVAL,equity_longonly,0.6047,0.7837,active,2,171412;153905,"Empowered Funds, LLC d/b/a EA Advisers | Alpha Architect, LLC",adv_data/brochures/171412/text.txt;adv_data/brochures/153905/text.txt,on_disk
QXGG,,0.8636,0.9146,active,0,,,,no_crd
RISN,equity_longonly,0.7459,0.8493,active,1,171988,"CWM Advisors, LLC",adv_data/brochures/171988/text.txt,on_disk
RLY,allocation_fof,0.9728,0.9853,active,2,;111242,"SSgA Funds Management, Inc. | SSGA Funds Management, Inc.",adv_data/brochures/111242/text.txt,on_disk
RORO,allocation_fof,0.4595,0.5214,active,2,164201;333968,"Tidal Investments LLC | Tactical Rotation Management, LLC",adv_data/brochures/164201/text.txt,on_disk
SECT,allocation_fof,0.9225,0.9599,active,1,288558,"Main Management ETF Advisors, LLC",,bulk_needed
SIXA,equity_longonly,0.8284,0.8927,active,3,283845;151197;307461,"6 Meridian LLC | Exchange Traded Concepts, LLC | Madison Avenue Financial Solutions, LLC",adv_data/brochures/151197/text.txt;adv_data/brochures/307461/text.txt,on_disk
SIXL,equity_longonly,0.8546,0.9244,active,3,283845;151197;307461,"6 Meridian LLC | Exchange Traded Concepts, LLC | Madison Avenue Financial Solutions, LLC",adv_data/brochures/151197/text.txt;adv_data/brochures/307461/text.txt,on_disk
SIXS,equity_longonly,0.7778,0.884,active,3,283845;151197;307461,"6 Meridian LLC | Exchange Traded Concepts, LLC | Madison Avenue Financial Solutions, LLC",adv_data/brochures/151197/text.txt;adv_data/brochures/307461/text.txt,on_disk
SMCP,equity_longonly,0.8062,0.8968,active,1,109366,"AlphaMark Advisors, LLC",adv_data/brochures/109366/text.txt,on_disk
SQEW,equity_longonly,0.6849,0.8361,active,2,N/A;153139,"Redwood Investment Management, LLC | Redwood Investment Management, LLC",adv_data/brochures/153139/text.txt,on_disk
SSFI,allocation_fof,0.8878,0.936,active,1,139671,Day Hagan Asset Management,adv_data/brochures/139671/text.txt,on_disk
SSUS,allocation_fof,0.8188,0.8989,active,1,139671,Day Hagan Asset Management,adv_data/brochures/139671/text.txt,on_disk
TDSA,allocation_fof,0.3634,0.6043,active,2,151418;151197,"Cabana Asset Management | Exchange Traded Concepts, LLC",adv_data/brochures/151418/text.txt;adv_data/brochures/151197/text.txt,on_disk
TDSB,allocation_fof,0.5341,0.7039,active,2,151197;151418,"Exchange Traded Concepts, LLC | Cabana Asset Management",adv_data/brochures/151197/text.txt;adv_data/brochures/151418/text.txt,on_disk
TDSC,allocation_fof,0.4554,0.67,active,2,151197;151418,"Exchange Traded Concepts, LLC | Cabana Asset Management",adv_data/brochures/151197/text.txt;adv_data/brochures/151418/text.txt,on_disk
TDSD,allocation_fof,0.3029,0.5709,active,2,151418;151197,"Cabana Asset Management | Exchange Traded Concepts, LLC",adv_data/brochures/151418/text.txt;adv_data/brochures/151197/text.txt,on_disk
TDSE,allocation_fof,0.2715,0.5384,active,2,151418;151197,"Cabana Asset Management | Exchange Traded Concepts, LLC",adv_data/brochures/151418/text.txt;adv_data/brochures/151197/text.txt,on_disk
TRTY,allocation_fof,0.9233,0.96,active,3,N/A;164201;141600,"Cambria Investment Management, L.P. | Tidal Investments LLC | Cambria Investment Management, L.P.",adv_data/brochures/164201/text.txt;adv_data/brochures/141600/text.txt,on_disk
TTAC,equity_longonly,0.885,0.941,active,1,135152,FCF Advisors LLC,adv_data/brochures/135152/text.txt,on_disk
VEGA,equity_options,0.9893,0.9945,active,3,113621;281213;149782,"Partnervest Advisory Services, LLC | CreativeOne Wealth, LLC | AdvisorShares Investments, LLC",adv_data/brochures/281213/text.txt,on_disk
WBII,allocation_fof,0.3793,0.584,active,2,147298;106336,"Millington Securities LLC | WBI Investments, LLC",adv_data/brochures/106336/text.txt,on_disk
WBIR,allocation_fof,0.1615,0.4526,active,2,147298;106336,"Millington Securities, Inc. | WBI Investments, Inc.",adv_data/brochures/106336/text.txt,on_disk
WBIT,allocation_fof,0.401,0.5608,active,2,147298;106336,"Millington Securities LLC | WBI Investments, LLC",adv_data/brochures/106336/text.txt,on_disk
XDAT,equity_longonly,0.9469,0.9721,active,1,104517,"Franklin Advisers, Inc.",adv_data/brochures/104517/text.txt,on_disk
XLSR,allocation_fof,0.8644,0.9202,active,1,111242,"SSGA Funds Management, Inc.",adv_data/brochures/111242/text.txt,on_disk
ACSI,equity_longonly,0.9108,0.9536,index,1,164201,Tidal Investments LLC,adv_data/brochures/164201/text.txt,on_disk
ACVF,equity_longonly,0.9695,0.9848,,3,171004;300807;286622,Vident Asset Management | Ridgeline Research LLC | Vident Asset Management,adv_data/brochures/171004/text.txt;adv_data/brochures/286622/text.txt,on_disk
AHLT,commodity_futures,,,,2,105552;167882,"American Beacon Advisors, Inc. | AHL Partners LLP",adv_data/brochures/105552/text.txt;adv_data/brochures/167882/text.txt,on_disk
AIVI,equity_longonly,0.7177,0.7613,,3,105764;106494;139684,"Mellon Investments Corporation | Voya Investment Management Co. LLC | WisdomTree Asset Management, Inc.",adv_data/brochures/105764/text.txt;adv_data/brochures/106494/text.txt;adv_data/brochures/139684/text.txt,on_disk
AIVL,equity_longonly,0.8702,0.9331,,3,105764;106494;139684,"Mellon Investments Corporation | Voya Investment Management Co. LLC | WisdomTree Asset Management, Inc.",adv_data/brochures/105764/text.txt;adv_data/brochures/106494/text.txt;adv_data/brochures/139684/text.txt,on_disk
ARKF,equity_longonly,0.9624,0.9806,,1,169525,ARK Investment Management LLC,adv_data/brochures/169525/text.txt,on_disk
ARP,allocation_fof,0.7446,0.8551,,3,171004;308010;286622,"Vident Investment Advisory, LLC | PMV Capital Advisers, LLC | Vident Advisory, LLC",adv_data/brochures/171004/text.txt;adv_data/brochures/308010/text.txt;adv_data/brochures/286622/text.txt,on_disk
AVGV,allocation_fof,0.998,0.9984,,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVMA,allocation_fof,0.9898,0.9923,,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVNM,allocation_fof,0.9965,0.9969,,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
AVNV,allocation_fof,0.999,0.9987,,1,105778,"American Century Investment Management, Inc.",adv_data/brochures/105778/text.txt,on_disk
BAMA,allocation_fof,0.9522,0.9762,,1,153467,"Brookstone Asset Management, LLC",,bulk_needed
BAMO,allocation_fof,0.9595,0.9797,,1,153467,"Brookstone Asset Management, LLC",,bulk_needed
BAMY,allocation_fof,0.7545,0.8765,,1,153467,"Brookstone Asset Management, LLC",,bulk_needed
BCD,commodity_futures,,,,4,171004;172736;111069;N/A,"Vident Investment Advisory, LLC | abrdn ETFs Advisors LLC | abrdn Inc. | Vident Advisory, LLC",adv_data/brochures/171004/text.txt;adv_data/brochures/111069/text.txt,on_disk
BSR,allocation_fof,0.7583,0.871,,2,120641;151197,"Beacon Capital Management, Inc. | Exchange Traded Concepts LLC",adv_data/brochures/120641/text.txt;adv_data/brochures/151197/text.txt,on_disk
BTR,allocation_fof,0.6567,0.8187,,2,120641;151197,"Beacon Capital Management, Inc. | Exchange Traded Concepts LLC",adv_data/brochures/120641/text.txt;adv_data/brochures/151197/text.txt,on_disk
BUFG,allocation_fof,0.4934,0.6924,active,2,165976;107027,VEST FINANCIAL LLC | First Trust Advisors L.P.,adv_data/brochures/165976/text.txt;adv_data/brochures/107027/text.txt,on_disk
BUFT,allocation_fof,0.426,0.6624,active,2,165976;107027,VEST FINANCIAL LLC | First Trust Advisors L.P.,adv_data/brochures/165976/text.txt;adv_data/brochures/107027/text.txt,on_disk
CCEF,allocation_fof,0.8362,0.9167,,1,105758,Calamos Advisors LLC,adv_data/brochures/105758/text.txt,on_disk
CCNR,commodity_futures,0.7585,0.8564,,2,135810;134340,"CoreCommodity Management, LLC | ALPS Advisors, Inc.",adv_data/brochures/135810/text.txt;adv_data/brochures/134340/text.txt,on_disk
CGBL,allocation_fof,0.987,0.9924,,1,110885,Capital Research and Management Company,adv_data/brochures/110885/text.txt,on_disk
CHGX,equity_longonly,0.8081,0.9005,index,3,151197;171004;287807,"Exchange Traded Concepts, LLC | Vident Investment Advisory, LLC | Change Finance, PBC",adv_data/brochures/151197/text.txt;adv_data/brochures/171004/text.txt;adv_data/brochures/287807/text.txt,on_disk
CLSA,allocation_fof,0.1713,0.4567,index,2,151418;151197,"Cabana Asset Management | Exchange Traded Concepts, LLC",adv_data/brochures/151418/text.txt;adv_data/brochures/151197/text.txt,on_disk
CLSC,allocation_fof,0.1878,0.4902,index,2,151418;151197,"Cabana Asset Management | Exchange Traded Concepts, LLC",adv_data/brochures/151418/text.txt;adv_data/brochures/151197/text.txt,on_disk
CLSM,allocation_fof,0.3787,0.6009,index,2,151197;151418,"Exchange Traded Concepts, LLC | Cabana Asset Management",adv_data/brochures/151197/text.txt;adv_data/brochures/151418/text.txt,on_disk
COMB,commodity_futures,,,index,1,287806,GraniteShares Advisors LLC,,bulk_needed
CUBS,equity_longonly,0.9009,0.9464,,3,291956;315449;151197,"Kingsway Capital Partners Limited | Tema Global Limited | Exchange Traded Concepts, LLC",adv_data/brochures/151197/text.txt,on_disk
AMID,equity_longonly,0.9237,0.9614,unknown,2,171412;107930,"Empowered Funds, LLC d/b/a EA Advisers | Argent Capital Management, LLC",adv_data/brochures/171412/text.txt;adv_data/brochures/107930/text.txt,on_disk
APIE,equity_longonly,0.9702,0.9843,,4,122836;113308;111694;108477,"Lazard Asset Management LLC | Causeway Capital Management LLC | Envestnet Asset Management, Inc. | AllianceBernstein L.P.",adv_data/brochures/122836/text.txt;adv_data/brochures/113308/text.txt;adv_data/brochures/111694/text.txt;adv_data/brochures/108477/text.txt,on_disk
APUE,equity_longonly,0.9848,0.9916,,2,111694;106654,"Envestnet Asset Management, Inc. | The London Company of Virginia, LLC",adv_data/brochures/111694/text.txt;adv_data/brochures/106654/text.txt,on_disk
BYRE,equity_longonly,0.9618,0.9805,,2,109008;109002,"Principal Real Estate Investors, LLC | Principal Global Investors, LLC",adv_data/brochures/109002/text.txt,on_disk
DEHP,equity_longonly,0.9698,0.9849,unknown,3,107472;107621;106482,Dimensional Fund Advisors Ltd. | DFA Australia Limited | Dimensional Fund Advisors LP,adv_data/brochures/106482/text.txt,on_disk
DGRE,equity_longonly,0.7471,0.8199,index,2,139684;105764,"WisdomTree Asset Management, Inc. | Mellon Investments Corporation",adv_data/brochures/139684/text.txt;adv_data/brochures/105764/text.txt,on_disk
