geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,6176,191655,0.974238,0.947333,0.988202,0.767001
neutral,covariance,"blend, pair weight",21,0.75-0.85,6176,191655,0.974204,0.947282,0.988082,0.783031
neutral,correlation,holdings corr,21,0.75-0.85,6176,191655,0.950690,0.918740,0.978925,0.692196
neutral,correlation,blend corr,21,0.75-0.85,6176,191655,0.945421,0.913391,0.973794,0.708711
neutral,correlation,factor corr K5,21,0.75-0.85,5967,179799,0.945561,0.916333,0.975066,0.687112
neutral,correlation,factor corr K10,21,0.75-0.85,5742,167224,0.935960,0.913795,0.955170,0.768896
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,5587,158564,0.957012,0.938458,0.973155,0.745123
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,4761,129505,0.963097,0.944384,0.978543,0.753203
neutral,covariance,holdings cov,21,0.85-0.95,20787,635687,0.988898,0.980413,0.996694,0.519507
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,20787,635687,0.983902,0.977231,0.989886,0.767643
neutral,covariance,"blend, pair weight",21,0.85-0.95,20787,635687,0.983896,0.977234,0.989874,0.771011
neutral,correlation,holdings corr,21,0.85-0.95,20787,635687,0.948171,0.931989,0.963552,0.692693
neutral,correlation,blend corr,21,0.85-0.95,20787,635687,0.946937,0.930829,0.962013,0.699331
neutral,correlation,factor corr K5,21,0.85-0.95,19778,590497,0.939116,0.920943,0.956369,0.684498
neutral,correlation,factor corr K10,21,0.85-0.95,18670,544276,0.932960,0.916292,0.947383,0.744028
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,18138,514793,0.965566,0.949468,0.979725,0.693020
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,15502,417668,0.971713,0.955832,0.984385,0.689395
neutral,covariance,holdings cov,21,<0.75,4697,128930,0.982906,0.961321,1.015062,0.505642
neutral,covariance,"holdings corr, stream vol",21,<0.75,4697,128930,0.984423,0.968782,0.995005,0.582712
neutral,covariance,"blend, pair weight",21,<0.75,4697,128930,0.982629,0.966322,0.991482,0.629338
neutral,correlation,holdings corr,21,<0.75,4697,128930,1.011362,0.960046,1.074074,0.556951
neutral,correlation,blend corr,21,<0.75,4697,128930,0.966582,0.933497,1.004285,0.615073
neutral,correlation,factor corr K5,21,<0.75,4499,118768,0.952206,0.907172,1.002079,0.677928
