geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,factor corr K10 vs stream,correlation,0,Q1 - Q4,0.001871,0.002941,0.636074,2884950
neutral,factor corr K10 vs stream,correlation,21,Q1 - Q4,0.002027,0.002922,0.693722,2884950
neutral,factor corr K10 vs stream,correlation,63,Q1 - Q4,0.002384,0.002900,0.822268,2884950
neutral,factor corr K10 vs stream,correlation,108,Q1 - Q4,0.003166,0.002733,1.158574,2884950
neutral,proxy factor corr core 13 vs stream,correlation,0,Q1,-0.004000,0.001516,-2.639428,2874668
neutral,proxy factor corr core 13 vs stream,correlation,0,Q2,-0.005971,0.002147,-2.780830,2874668
neutral,proxy factor corr core 13 vs stream,correlation,0,Q3,-0.005168,0.002057,-2.512439,2874668
neutral,proxy factor corr core 13 vs stream,correlation,0,Q4,-0.002527,0.001417,-1.783257,2874668
neutral,proxy factor corr core 13 vs stream,correlation,21,Q1,-0.003605,0.001429,-2.522093,2874668
neutral,proxy factor corr core 13 vs stream,correlation,21,Q2,-0.005747,0.002136,-2.691027,2874668
neutral,proxy factor corr core 13 vs stream,correlation,21,Q3,-0.005064,0.002060,-2.458220,2874668
neutral,proxy factor corr core 13 vs stream,correlation,21,Q4,-0.002459,0.001418,-1.734427,2874668
neutral,proxy factor corr core 13 vs stream,correlation,63,Q1,-0.003331,0.001406,-2.369284,2874668
neutral,proxy factor corr core 13 vs stream,correlation,63,Q2,-0.005555,0.002143,-2.591919,2874668
neutral,proxy factor corr core 13 vs stream,correlation,63,Q3,-0.005111,0.002057,-2.485253,2874668
neutral,proxy factor corr core 13 vs stream,correlation,63,Q4,-0.002462,0.001433,-1.717818,2874668
neutral,proxy factor corr core 13 vs stream,correlation,108,Q1,-0.003056,0.001354,-2.257473,2874668
neutral,proxy factor corr core 13 vs stream,correlation,108,Q2,-0.005426,0.002144,-2.530977,2874668
neutral,proxy factor corr core 13 vs stream,correlation,108,Q3,-0.004915,0.002034,-2.416166,2874668
neutral,proxy factor corr core 13 vs stream,correlation,108,Q4,-0.002497,0.001437,-1.737826,2874668
neutral,proxy factor corr core 13 vs stream,correlation,0,Q1 - Q4,-0.001473,0.001574,-0.935963,2874668
neutral,proxy factor corr core 13 vs stream,correlation,21,Q1 - Q4,-0.001146,0.001492,-0.768095,2874668
neutral,proxy factor corr core 13 vs stream,correlation,63,Q1 - Q4,-0.000869,0.001479,-0.587702,2874668
neutral,proxy factor corr core 13 vs stream,correlation,108,Q1 - Q4,-0.000560,0.001423,-0.393560,2874668
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q1,-0.003491,0.001437,-2.429883,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q2,-0.004937,0.001924,-2.565571,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q3,-0.004945,0.001930,-2.561725,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q4,-0.002306,0.001194,-1.930973,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q1,-0.003227,0.001346,-2.397931,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q2,-0.004972,0.001920,-2.589481,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q3,-0.004934,0.001929,-2.557616,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q4,-0.002297,0.001194,-1.923233,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q1,-0.003138,0.001325,-2.368663,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q2,-0.004952,0.001920,-2.578716,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q3,-0.004901,0.001931,-2.538789,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q4,-0.002268,0.001194,-1.898982,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q1,-0.002876,0.001249,-2.303028,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q2,-0.004889,0.001917,-2.550011,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q3,-0.004777,0.001898,-2.516632,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q4,-0.002305,0.001194,-1.930197,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q1 - Q4,-0.001184,0.001517,-0.780727,2826588
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q1 - Q4,-0.000930,0.001436,-0.647545,2826588
